cep;logradouro;bairro;cidade;estado
1101010;"Av. Tiradentes";"Bom Retiro";"São Paulo";"SP"
3694000;"Av. Águia de Haia";"Cidade Antônio Estêvão de Carvalho";"São Paulo";"SP"
6310390;"Av. Francisco Pignatari";"Vila Gustavo Correira";"Carapicuíba";"SP"
8773600;"Rua Carlos Barattino 908";"Vila Mogilar";"Mogi das Cruzes";"SP"
18013280;"Av. Eng. Carlos Reinaldo Mendes";"Além Ponte";Sorocaba;"SP"
11015502;"Av. Senador Feijó";"Vila Matias";Santos;"SP"
11700100;"Pça. 19 de Janeiro";"Boqueirão";"Praia Grande";"SP"
17580000;"R. Shunji Nishimura";"Distrito Industrial";"Pompéia";"SP"
9581420;"R. Bel Aliance";"Jardim São Caetano";"São Caetano do Sul";"SP"
7190065;"R. Cristóbal Cláudio Elilo";"Parque Cecap";"Guarulhos";"SP"
