cod_cur,nom_cur,dat_inc,estado,sit
1,"Análise e Desenv. de Sistemas",2025-11-07,1,Ativo
2,Administração,2025-11-07,1,Ativo
3,"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS",1974-08-21,1,Ativo
4,"SECRETARIADO E ASSESSORIA INTERNACIONAL",1991-09-30,1,Ativo
5,EDIFÍCIOS,1973-04-10,1,Ativo
6,"ELETRÔNICA INDUSTRIAL",1991-01-01,1,Ativo
7,"GESTÃO DE TURISMO",2008-01-01,1,Ativo
8,"HIDRÁULICA E SANEAMENTO AMBIENTAL",2012-09-17,1,Ativo
9,"INSTALAÇÕES ELÉTRICAS",2024-07-01,1,Ativo
10,"GESTÃO EMPRESARIAL",2024-07-01,1,Ativo
11,MATERIAIS,1973-04-10,1,Ativo
12,"MECÂNICA DE PRECISÃO",1973-04-10,1,Ativo
13,MICROELETRÔNICA,1994-01-01,1,Ativo
14,"TECNOLOGIA EM ESTRADAS",1973-04-10,1,Ativo
15,"PROCESSOS DE PRODUÇÃO",1973-04-10,1,Ativo
16,PROJETOS,1973-04-10,1,Ativo
17,SOLDAGEM,1988-04-11,1,Ativo
18,"GESTAO DE EMPREENDIMENTOS GASTRONOMICOS",2025-01-01,1,Ativo
19,"PRODUCAO CULTURAL",2024-01-01,1,Ativo
20,"PAISAGISMO E JARDINAGEM",2024-01-01,1,Ativo
21,"GESTAO DA QUALIDADE",2021-01-01,1,Ativo
22,"FABRICAÇÃO MECÂNICA",2025-07-01,1,Inativo
23,"GESTÃO DA PRODUÇÃO INDUSTRIAL",2025-07-01,1,Inativo
24,"PROJETOS MECÂNICOS",2025-07-01,1,Inativo
25,"REFRIGERAÇÃO E CLIMATIZAÇÃO",2025-01-01,1,Inativo
