cod_dis,nom_dis,dat_inc,tipo,crg_hor_semanal,carga,inativa
1,Administração Geral,1974-08-21,Obrigatoria,4,80,ativa
2,Algoritmos e Lógica de Programação ,1974-08-21,Obrigatoria,4,80,ativa
3,Arquitetura e Organização de Computadores,1974-08-21,Obrigatoria,4,80,ativa
4,Matemática Discreta,1974-08-21,Obrigatoria,4,80,ativa
5,Programação em Microinformática ,1974-08-21,Obrigatoria,4,80,ativa
6,Comunicação e Expressão ,1974-08-21,Obrigatoria,4,80,ativa
7,Laboratório de Arquitetura e Organização de Computadores,1974-08-21,Obrigatoria,4,80,ativa
8,Linguagem de Programação,1974-08-21,Obrigatoria,4,80,ativa
9,Matemática,1974-08-21,Obrigatoria,4,80,ativa
10,Sistemas de Informação,1974-08-21,Obrigatoria,4,80,ativa
11,Eletiva I,1974-08-21,Eletiva 1,4,80,ativa
12,Estatística Aplicada ,1974-08-21,Obrigatoria,4,80,ativa
13,Estruturas de Dados ,1974-08-21,Obrigatoria,4,80,ativa
14,Laboratório de Hardware,1974-08-21,Obrigatoria,2,40,ativa
15,Sistemas Operacionais I,1974-08-21,Obrigatoria,4,80,ativa
16,Eletiva II,1974-08-21,Eletiva 2,4,80,ativa
17,Contabilidade,1974-08-21,Obrigatoria,2,40,ativa
18,Engenharia de Software I,1974-08-21,Obrigatoria,4,80,ativa
19,Programação Linear e Aplicações ,1974-08-21,Obrigatoria,4,80,ativa
20,Programação Orientada a Objetos,1974-08-21,Obrigatoria,4,80,ativa
21,Eletiva III,1974-08-21,Eletiva 3,4,80,ativa
22,Banco de Dados,1974-08-21,Obrigatoria,4,80,ativa
23,Engenharia de Software II,1974-08-21,Obrigatoria,4,80,ativa
24,Interação Humano Computador,1974-08-21,Obrigatoria,2,40,ativa
25,Sistemas Operacionais II,1974-08-21,Obrigatoria,4,80,ativa
26,Economia e Finanças ,1974-08-21,Obrigatoria,2,40,ativa
27,Engenharia de Software III,1974-08-21,Obrigatoria,4,80,ativa
